voting_country,country,juror_0,juror_1,juror_2,juror_3,juror_4,jury_ranking,televote_ranking
croatia,Sweden,12,15,20,12,17,16,11
croatia,Switzerland,9,5,1,10,1,3,6
croatia,The Netherlands,18,18,18,13,20,18,26
croatia,Ukraine,8,14,11,16,12,13,3
croatia,United Kingdom,25,24,25,26,25,26,24
cyprus,Albania,19,20,17,17,17,20,21
cyprus,Azerbaijan,17,17,19,14,16,19,14
cyprus,Belgium,11,1,14,15,18,7,20
cyprus,Bulgaria,14,8,9,2,23,6,4
cyprus,Finland,22,9,24,8,2,8,7
cyprus,France,3,7,8,6,5,4,3
cyprus,Germany,24,25,21,25,22,25,18
cyprus,Greece,1,2,1,1,1,1,1
cyprus,Iceland,10,6,18,11,19,15,15
cyprus,Israel,9,12,13,16,11,17,9
cyprus,Italy,4,4,5,5,4,3,2
cyprus,Lithuania,6,16,15,20,7,13,6
cyprus,Malta,2,3,4,3,3,2,10
cyprus,Moldova,12,11,10,10,14,16,25
cyprus,Norway,16,18,16,18,8,18,16
cyprus,Portugal,7,13,3,19,24,10,17
cyprus,Russia,5,5,6,7,6,5,8
cyprus,San Marino,13,10,11,9,9,12,19
cyprus,Serbia,25,21,23,21,13,22,12
cyprus,Spain,21,24,12,23,20,21,22
cyprus,Sweden,8,15,7,13,12,11,13
cyprus,Switzerland,15,14,2,12,15,9,11
cyprus,The Netherlands,23,23,22,22,25,24,23
cyprus,Ukraine,18,22,25,4,10,14,5
cyprus,United Kingdom,20,19,20,24,21,23,24
czech-republic,Albania,21,25,18,26,19,25,23
czech-republic,Azerbaijan,19,19,19,20,22,23,17
czech-republic,Belgium,22,4,10,7,10,8,19
czech-republic,Bulgaria,11,2,9,9,4,7,12
czech-republic,Cyprus,15,21,24,17,20,22,20
czech-republic,Finland,8,12,8,8,8,10,7
czech-republic,France,6,11,1,1,1,2,9
czech-republic,Germany,25,6,15,22,25,14,18
czech-republic,Greece,16,9,13,12,15,12,3
czech-republic,Iceland,4,1,5,4,5,3,4
czech-republic,Israel,14,23,16,14,12,17,15
czech-republic,Italy,1,14,7,3,7,5,5
czech-republic,Lithuania,12,20,14,25,24,21,10
czech-republic,Malta,2,16,3,6,3,4,14
czech-republic,Moldova,24,26,26,24,26,26,1
czech-republic,Norway,26,10,23,19,21,20,13
czech-republic,Portugal,3,3,2,2,2,1,21
czech-republic,Russia,7,22,4,10,11,9,6
czech-republic,San Marino,23,18,21,21,18,24,22
czech-republic,Serbia,9,24,17,16,13,16,11
czech-republic,Spain,10,13,11,23,17,15,24
czech-republic,Sweden,20,17,22,18,9,18,16
czech-republic,Switzerland,5,7,6,5,6,6,8
czech-republic,The Netherlands,17,15,20,13,14,19,25
czech-republic,Ukraine,13,5,12,15,23,11,2
czech-republic,United Kingdom,18,8,25,11,16,13,26
denmark,Albania,1,16,11,21,2,4,25
denmark,Azerbaijan,12,23,9,12,21,20,17
denmark,Belgium,24,17,21,19,9,23,16
denmark,Bulgaria,16,9,20,2,3,5,18
denmark,Cyprus,7,10,7,13,12,13,13
denmark,Finland,8,5,14,3,4,3,4
denmark,France,10,7,19,14,23,18,8
denmark,Germany,13,25,26,26,22,26,14
denmark,Greece,18,21,3,20,8,14,15
denmark,Iceland,3,2,4,8,11,2,1
denmark,Israel,20,18,2,9,25,10,21
denmark,Italy,23,14,23,22,10,24,6
denmark,Lithuania,21,19,13,18,16,25,7
denmark,Malta,15,3,5,16,14,7,9
denmark,Moldova,11,26,15,10,13,19,24
denmark,Norway,25,20,6,5,7,8,3
denmark,Portugal,14,8,18,7,24,16,11
denmark,Russia,17,4,22,25,26,17,12
denmark,San Marino,2,13,12,17,6,6,20
denmark,Serbia,9,22,16,24,18,22,23
denmark,Spain,22,11,10,23,5,15,26
denmark,Sweden,6,15,8,6,20,9,2
denmark,Switzerland,5,1,1,4,1,1,5
denmark,The Netherlands,4,6,24,15,17,12,19
denmark,Ukraine,26,24,17,1,19,11,10
denmark,United Kingdom,19,12,25,11,15,21,22
estonia,Albania,14,20,16,18,20,21,25
estonia,Azerbaijan,22,18,12,26,18,23,14
estonia,Belgium,16,10,15,16,21,19,15
estonia,Bulgaria,6,6,4,2,8,5,11
estonia,Cyprus,20,8,10,12,24,14,16
estonia,Finland,3,7,9,6,1,4,1
estonia,France,5,1,3,4,2,2,4
estonia,Germany,26,25,26,24,11,24,18
estonia,Greece,9,17,18,9,22,18,17
estonia,Iceland,2,4,8,3,7,3,8
estonia,Israel,13,11,14,8,13,13,21
estonia,Italy,15,5,13,21,4,8,3
estonia,Lithuania,12,12,7,10,10,9,2
estonia,Malta,18,9,17,7,9,10,13
estonia,Moldova,25,26,25,25,26,26,19
estonia,Norway,11,19,21,23,25,22,7
estonia,Portugal,17,3,11,5,6,6,12
estonia,Russia,23,23,6,22,12,17,5
estonia,San Marino,24,16,19,14,15,20,20
estonia,Serbia,10,14,5,19,16,11,23
estonia,Spain,4,24,23,13,19,12,24
estonia,Sweden,8,15,22,11,14,16,10
estonia,Switzerland,1,2,2,1,3,1,9
estonia,The Netherlands,21,21,24,15,5,15,26
estonia,Ukraine,7,13,1,20,23,7,6
estonia,United Kingdom,19,22,20,17,17,25,22
finland,Albania,9,9,16,24,11,14,18
finland,Azerbaijan,13,24,24,16,24,21,15
finland,Belgium,15,13,9,17,12,15,14
finland,Bulgaria,2,1,2,5,2,2,16
finland,Cyprus,20,22,22,15,16,22,17
finland,France,1,18,4,6,3,4,5
finland,Germany,22,16,17,20,18,23,19
finland,Greece,8,7,8,10,14,9,13
finland,Iceland,5,10,3,1,5,3,1
finland,Israel,17,6,15,13,7,11,21
finland,Italy,3,4,10,4,4,5,3
finland,Lithuania,10,5,11,7,20,8,6
finland,Malta,6,11,21,22,6,10,11
finland,Moldova,23,20,25,21,25,25,9
finland,Norway,16,23,6,14,23,16,7
finland,Portugal,11,15,12,8,10,13,12
finland,Russia,24,3,18,9,8,7,10
finland,San Marino,14,19,19,23,22,24,20
finland,Serbia,12,21,14,25,9,18,22
finland,Spain,21,17,7,18,13,17,25
finland,Sweden,7,14,13,2,19,6,8
finland,Switzerland,4,2,1,3,1,1,4
finland,The Netherlands,18,8,20,19,21,19,23
finland,Ukraine,25,12,5,11,15,12,2
finland,United Kingdom,19,25,23,12,17,20,24
france,Albania,16,4,16,22,11,15,15
france,Azerbaijan,24,13,22,17,16,25,18
france,Belgium,17,2,11,3,13,5,21
france,Bulgaria,14,12,18,2,25,13,17
france,Cyprus,8,15,12,12,3,9,22
france,Finland,19,16,1,20,19,12,10
france,Germany,18,9,13,24,5,16,13
france,Greece,2,23,4,5,1,1,20
france,Iceland,20,7,7,9,4,8,7
france,Israel,4,5,10,7,15,6,6
france,Italy,23,10,3,8,22,11,2
france,Lithuania,21,21,6,19,6,14,11
france,Malta,9,11,25,13,9,18,16
france,Moldova,6,22,14,21,8,17,4
france,Norway,15,20,23,18,12,23,14
france,Portugal,1,6,8,4,21,3,3
france,Russia,5,3,5,1,18,2,12
france,San Marino,13,17,9,6,2,7,24
france,Serbia,25,25,17,16,10,22,8
france,Spain,11,14,20,15,23,21,19
france,Sweden,10,18,2,11,17,10,9
france,Switzerland,3,1,15,10,20,4,5
france,The Netherlands,7,19,19,14,24,20,23
france,Ukraine,22,8,24,25,7,19,1
france,United Kingdom,12,24,21,23,14,24,25
georgia,Albania,19,23,19,22,23,23,22
georgia,Azerbaijan,8,14,6,2,6,6,8
georgia,Belgium,14,13,20,20,18,17,18
georgia,Bulgaria,7,7,4,12,4,7,13
georgia,Cyprus,15,20,14,18,26,18,16
georgia,Finland,11,9,25,9,13,12,15
georgia,France,26,12,10,16,11,13,6
georgia,Germany,23,15,11,13,12,15,17
georgia,Greece,21,25,22,15,21,20,1
georgia,Iceland,3,3,7,10,8,5,10
georgia,Israel,13,16,15,11,15,16,14
georgia,Italy,1,1,3,3,1,1,3
georgia,Lithuania,4,6,8,5,10,8,2
georgia,Malta,12,10,9,7,16,10,12
georgia,Moldova,24,24,23,17,25,26,9
georgia,Norway,16,19,12,19,9,14,19
georgia,Portugal,5,4,1,6,3,3,21
georgia,Russia,25,26,16,26,17,21,7
georgia,San Marino,18,21,24,24,24,25,4
georgia,Serbia,20,22,21,23,20,24,25
georgia,Spain,17,18,17,21,22,19,23
georgia,Sweden,10,11,13,8,14,11,20
georgia,Switzerland,2,2,2,1,2,2,11
georgia,The Netherlands,9,8,18,14,7,9,24
georgia,Ukraine,6,5,5,4,5,4,5
georgia,United Kingdom,22,17,26,25,19,22,26
germany,Albania,25,22,23,18,21,23,16
germany,Azerbaijan,19,10,15,7,19,15,17
germany,Belgium,5,19,19,6,15,11,21
germany,Bulgaria,23,7,10,15,20,16,15
germany,Cyprus,8,1,4,16,6,4,19
germany,Finland,7,17,13,19,18,18,3
germany,France,3,2,6,3,4,1,2
germany,Greece,13,20,21,20,23,22,14
germany,Iceland,4,9,8,5,12,8,5
germany,Israel,10,11,12,22,10,14,18
germany,Italy,16,3,7,13,1,5,4
germany,Lithuania,9,8,5,8,13,10,1
germany,Malta,2,4,11,1,7,3,12
germany,Moldova,18,24,25,21,22,24,25
germany,Norway,17,15,18,12,17,19,10
germany,Portugal,21,6,14,14,14,12,11
germany,Russia,11,12,2,9,9,9,6
germany,San Marino,14,14,20,11,8,17,23
germany,Serbia,22,21,24,17,11,21,8
germany,Spain,24,25,22,25,24,25,22
germany,Sweden,1,18,3,10,16,7,13
germany,Switzerland,12,5,1,4,2,2,9
germany,The Netherlands,15,16,17,24,5,13,20
germany,Ukraine,6,13,16,2,3,6,7
germany,United Kingdom,20,23,9,23,25,20,24
greece,Albania,12,11,12,9,10,17,4
greece,Azerbaijan,10,8,11,10,6,12,9
greece,Belgium,14,10,14,1,23,8,18
greece,Bulgaria,6,2,5,5,9,3,12
greece,Cyprus,3,3,1,2,1,1,1
greece,Finland,19,17,19,25,18,22,5
greece,France,1,13,10,13,14,6,3
greece,Germany,24,25,24,19,22,25,20
greece,Iceland,2,14,16,18,15,13,11
greece,Israel,9,21,21,3,19,15,22
greece,Italy,15,1,13,15,12,7,2
greece,Lithuania,20,22,4,7,8,11,13
greece,Malta,8,6,9,8,4,5,8
greece,Moldova,5,5,6,4,3,2,21
greece,Norway,22,20,22,14,20,21,14
greece,Portugal,17,19,2,21,24,16,19
greece,Russia,4,12,8,16,7,9,10
greece,San Marino,7,4,7,6,5,4,17
greece,Serbia,13,16,18,12,17,19,16
greece,Spain,21,18,20,24,11,20,23
greece,Sweden,18,9,23,11,25,18,15
greece,Switzerland,11,15,3,17,16,14,7
greece,The Netherlands,25,24,25,20,13,23,25
greece,Ukraine,16,7,17,23,2,10,6
greece,United Kingdom,23,23,15,22,21,24,24
iceland,Albania,11,13,5,20,17,11,24
iceland,Azerbaijan,22,21,23,23,16,23,15
iceland,Belgium,10,19,15,9,15,14,19
iceland,Bulgaria,2,3,8,2,6,3,16
iceland,Cyprus,20,11,20,21,14,19,13
iceland,Finland,6,10,7,4,5,6,1
iceland,France,7,2,1,10,8,5,4
iceland,Germany,24,22,24,24,25,24,17
iceland,Greece,18,4,10,6,3,7,12
iceland,Israel,12,25,16,15,18,20,18
iceland,Italy,17,5,2,5,2,4,6
iceland,Lithuania,13,12,12,8,19,13,7
iceland,Malta,5,16,6,22,9,10,8
iceland,Moldova,23,20,18,16,20,22,23
iceland,Norway,16,24,19,17,11,21,10
iceland,Portugal,3,9,3,1,4,2,9
iceland,Russia,9,18,4,7,12,9,11
iceland,San Marino,15,15,13,18,13,18,14
iceland,Serbia,21,8,21,12,21,16,21
iceland,Spain,8,17,17,14,22,15,25
iceland,Sweden,14,14,11,11,7,12,2
iceland,Switzerland,1,1,9,3,1,1,5
iceland,The Netherlands,19,7,22,19,23,17,22
iceland,Ukraine,4,6,14,13,10,8,3
iceland,United Kingdom,25,23,25,25,24,25,20
ireland,Albania,25,24,24,26,19,26,26
ireland,Azerbaijan,11,9,3,10,13,9,22
ireland,Belgium,14,5,26,22,2,8,24
ireland,Bulgaria,15,19,16,6,4,10,11
ireland,Cyprus,13,13,5,9,24,13,13
ireland,Finland,19,17,19,12,22,24,6
ireland,France,9,1,18,2,1,1,4
ireland,Germany,8,25,25,16,15,19,16
ireland,Greece,17,14,8,7,7,11,19
ireland,Iceland,2,6,2,3,16,3,2
ireland,Israel,22,20,20,15,9,20,20
ireland,Italy,24,4,15,24,21,17,5
ireland,Lithuania,26,3,10,5,11,7,1
ireland,Malta,6,2,9,1,5,2,7
ireland,Moldova,21,26,22,11,25,25,15
ireland,Norway,4,15,4,4,8,4,12
ireland,Portugal,7,11,23,13,6,12,9
ireland,Russia,12,8,6,21,14,15,14
ireland,San Marino,23,10,11,14,18,18,17
ireland,Serbia,16,16,21,19,12,22,18
ireland,Spain,10,21,13,23,26,21,25
ireland,Sweden,18,23,14,17,3,16,10
ireland,Switzerland,1,7,12,8,17,6,8
ireland,The Netherlands,5,18,7,18,20,14,23
ireland,Ukraine,3,12,1,20,23,5,3
ireland,United Kingdom,20,22,17,25,10,23,21
italy,Albania,20,18,14,20,25,21,2
italy,Azerbaijan,15,22,24,23,11,20,18
italy,Belgium,7,3,6,3,13,6,20
italy,Bulgaria,23,24,8,13,7,14,15
italy,Cyprus,19,15,12,8,19,15,21
italy,Finland,1,10,3,4,3,2,3
italy,France,12,1,15,12,10,8,10
italy,Germany,14,25,23,25,17,22,17
italy,Greece,17,16,17,10,21,17,22
italy,Iceland,8,2,4,2,6,3,5
italy,Israel,13,4,5,7,15,7,19
italy,Lithuania,5,8,1,1,1,1,6
italy,Malta,3,12,2,6,2,4,14
italy,Moldova,22,17,20,18,24,23,9
italy,Norway,4,11,10,9,8,9,11
italy,Portugal,2,9,7,5,4,5,16
italy,Russia,9,6,16,19,12,11,4
italy,San Marino,11,5,22,15,20,13,8
italy,Serbia,25,23,19,17,23,25,7
italy,Spain,21,14,13,22,18,19,24
italy,Sweden,10,20,9,11,9,12,13
italy,Switzerland,24,21,21,21,16,24,12
italy,The Netherlands,16,19,11,16,14,16,23
italy,Ukraine,6,7,25,24,5,10,1
italy,United Kingdom,18,13,18,14,22,18,25
latvia,Albania,17,23,22,23,17,23,24
latvia,Azerbaijan,15,24,15,12,22,20,12
latvia,Belgium,9,8,10,6,19,12,13
latvia,Bulgaria,11,17,3,13,3,6,15
latvia,Cyprus,21,22,24,25,25,25,20
latvia,Finland,12,5,5,7,8,7,3
latvia,France,6,7,9,11,4,8,8
latvia,Germany,24,20,14,10,11,17,18
latvia,Greece,13,18,16,15,6,14,16
latvia,Iceland,7,3,2,4,1,2,6
latvia,Israel,19,19,18,20,16,21,19
latvia,Italy,2,4,11,2,12,3,4
latvia,Lithuania,5,2,19,3,10,5,1
latvia,Malta,3,9,7,21,15,9,17
latvia,Moldova,23,25,13,18,24,22,11
latvia,Norway,25,14,4,24,5,11,9
latvia,Portugal,14,11,12,8,7,13,14
latvia,Russia,10,10,6,5,18,10,2
latvia,San Marino,8,16,23,17,23,18,21
latvia,Serbia,20,26,25,26,26,26,25
latvia,Spain,22,21,26,16,20,24,26
latvia,Sweden,18,12,21,19,13,19,10
latvia,Switzerland,4,1,1,9,2,1,7
latvia,The Netherlands,16,15,20,14,9,16,22
latvia,Ukraine,1,13,8,1,14,4,5
latvia,United Kingdom,26,6,17,22,21,15,23
lithuania,Albania,23,22,24,19,24,23,25
lithuania,Azerbaijan,21,18,20,22,22,21,14
lithuania,Belgium,6,4,3,3,1,4,9
lithuania,Bulgaria,7,13,8,11,15,9,18
lithuania,Cyprus,13,15,21,15,17,18,11
lithuania,Finland,12,10,10,12,10,11,4
lithuania,France,2,5,6,7,14,6,3
lithuania,Germany,14,12,14,10,8,12,13
lithuania,Greece,8,14,19,13,16,15,17
lithuania,Iceland,10,7,11,5,9,7,8
lithuania,Israel,11,16,7,20,7,10,16
lithuania,Italy,1,2,4,6,4,2,2
lithuania,Malta,15,8,9,8,5,8,15
lithuania,Moldova,25,25,23,25,23,25,22
lithuania,Norway,9,20,17,17,6,13,6
lithuania,Portugal,4,1,5,4,12,5,12
lithuania,Russia,16,21,16,24,19,19,7
lithuania,San Marino,18,24,22,21,20,22,19
lithuania,Serbia,24,23,25,23,21,24,21
lithuania,Spain,22,19,12,16,13,17,24
lithuania,Sweden,17,9,13,14,18,16,10
lithuania,Switzerland,5,6,2,2,2,3,5
lithuania,The Netherlands,19,11,15,9,11,14,23
lithuania,Ukraine,3,3,1,1,3,1,1
lithuania,United Kingdom,20,17,18,18,25,20,20
malta,Albania,3,22,3,3,19,1,18
malta,Azerbaijan,10,23,12,7,5,14,12
malta,Belgium,11,18,18,18,14,21,22
malta,Bulgaria,25,7,6,16,10,16,11
malta,Cyprus,16,21,2,6,7,7,9
malta,Finland,5,2,11,22,22,9,4
malta,France,23,12,1,15,6,8,8
malta,Germany,8,25,24,19,23,22,19
malta,Greece,20,11,4,1,11,5,17
malta,Iceland,2,19,16,9,18,12,6
malta,Israel,14,20,17,17,13,24,21
malta,Italy,18,9,13,4,8,11,1
malta,Lithuania,19,8,7,13,15,17,5
malta,Moldova,15,14,22,2,12,13,24
malta,Norway,7,24,15,8,25,19,2
malta,Portugal,22,1,19,12,2,4,15
malta,Russia,13,16,21,14,16,23,16
malta,San Marino,4,5,9,23,17,10,20
malta,Serbia,6,17,25,20,9,18,7
malta,Spain,24,10,20,21,24,25,23
malta,Sweden,21,15,5,5,1,3,3
malta,Switzerland,1,6,14,25,4,2,13
malta,The Netherlands,17,13,8,10,21,20,25
malta,Ukraine,9,4,10,24,3,6,10
malta,United Kingdom,12,3,23,11,20,15,14
moldova,Albania,11,12,17,13,8,14,22
moldova,Azerbaijan,8,5,4,23,6,5,10
moldova,Belgium,22,4,8,16,24,12,20
moldova,Bulgaria,2,1,1,3,1,1,12
moldova,Cyprus,4,11,14,8,25,10,13
moldova,Finland,21,21,19,7,23,16,6
moldova,France,1,8,18,20,9,7,5
moldova,Germany,16,20,25,11,13,20,17
moldova,Greece,6,2,3,5,3,3,4
moldova,Iceland,15,18,10,1,7,6,11
moldova,Israel,14,14,15,21,17,22,18
moldova,Italy,18,24,9,25,18,21,3
moldova,Lithuania,20,6,23,18,22,15,9
moldova,Malta,3,13,6,2,11,4,14
moldova,Norway,17,17,22,14,10,18,15
moldova,Portugal,13,10,12,6,5,9,16
moldova,Russia,5,3,2,4,2,2,1
moldova,San Marino,9,22,5,12,16,13,19
moldova,Serbia,12,15,13,19,15,17,21
moldova,Spain,19,19,16,9,19,19,24
moldova,Sweden,24,23,20,24,21,25,8
moldova,Switzerland,7,9,11,10,4,8,7
